transaction_id,compte_id,date_id,montant,type_transaction
13738,2469,3013,-311.6,retrait
48242,2081,1033,-340.67,retrait
93517,188,1708,5517.36,prélèvement
74104,3659,3760,6076.1,prélèvement
44663,8,2686,-1250.14,paiement
33152,3858,1984,5848.69,prélèvement
41737,3655,2577,-3172.37,virement
15249,604,2957,3244.96,retrait
55925,2208,1777,-2187.98,paiement
70304,1904,1459,3647.34,prélèvement
58856,2308,3139,-3053.0,paiement
51891,1649,2667,6262.97,prélèvement
89287,1040,1551,7485.9,virement
30938,1273,2276,2652.63,paiement
88822,2396,1510,3155.85,prélèvement
82121,2520,1658,1208.91,paiement
31876,959,3051,-2525.8,virement
16456,3790,1257,-4534.39,prélèvement
98761,526,1408,7915.98,virement
48729,2616,2492,-4023.32,retrait
23128,436,299,-4524.43,paiement
33798,3864,2955,-740.6,dépôt
92458,3918,3448,-1700.5,prélèvement
42718,3358,1526,2460.44,virement
32105,2283,2598,3770.39,retrait
38009,3779,1100,4590.85,prélèvement
58063,2668,574,250.98,dépôt
98156,3607,2917,-554.38,virement
82515,3354,1415,8833.87,virement
88801,3986,1638,-4294.51,virement
85068,3781,928,9452.14,retrait
50681,2502,412,7683.15,dépôt
11842,3246,3584,-4468.88,retrait
22198,855,1804,4398.81,paiement
34324,1753,3485,1769.62,virement
89365,1200,2367,1861.6,virement
26775,1794,1674,3513.57,virement
36806,3674,3201,7415.67,dépôt
77330,3566,1514,-654.54,virement
87004,2806,2917,7384.31,virement
32246,3219,2295,6249.59,paiement
45128,3667,628,3278.65,virement
79074,2829,142,5445.59,prélèvement
45377,3240,3528,1682.46,dépôt
25940,1156,1805,-2779.78,virement
92733,1324,2288,5867.82,dépôt
14647,845,2774,-756.94,prélèvement
84191,963,1911,-3209.47,virement
19344,842,241,8041.37,retrait
87345,3398,2215,-3933.17,paiement
72522,3276,2699,233.28,paiement
66185,2316,1175,-1256.46,virement
56475,3079,1299,-4650.52,virement
29817,2026,3063,881.29,prélèvement
14595,3852,2264,1005.93,retrait
56397,3644,2634,4492.4,retrait
81978,869,3285,5944.93,dépôt
70371,2393,182,1663.86,virement
30847,3567,1933,4948.44,retrait
68255,3770,2350,-4463.24,prélèvement
42698,308,3328,1715.5,dépôt
27379,1723,2918,-1623.88,virement
60259,829,2246,3840.39,retrait
56688,2298,980,-3232.88,virement
27779,2320,647,9766.97,paiement
78199,3042,3731,-38.9,paiement
58661,758,1205,-126.67,paiement
33114,3644,3845,4082.09,retrait
66534,2271,2900,795.5,prélèvement
70221,2618,2083,4920.57,dépôt
95277,3355,618,4933.4,prélèvement
