account_id,client_id,account_type,opening_date
1,1152,courant,2024-10-31
2,574,entreprise,2024-03-17
3,1970,épargne,2023-09-06
4,95,courant,2024-06-22
5,1046,épargne,2019-04-21
6,2199,épargne,2019-07-21
7,1216,joint,2025-01-02
8,3088,entreprise,2019-07-31
9,1357,entreprise,2021-04-11
10,3147,épargne,2023-04-20
11,1713,courant,2019-04-23
12,873,épargne,2017-04-11
13,1131,courant,2025-02-06
14,291,joint,2022-01-20
15,2602,joint,2019-02-07
16,2675,entreprise,2024-01-28
17,1915,épargne,2019-08-31
18,694,courant,2019-06-01
19,2145,courant,2024-01-23
20,1457,épargne,2021-02-19
21,2382,épargne,2022-08-20
22,134,joint,2021-10-26
23,1186,joint,2015-09-05
24,1289,joint,2022-07-14
25,1968,entreprise,2020-08-11
26,1336,épargne,2022-01-13
27,363,épargne,2021-10-14
28,2813,entreprise,2022-05-08
29,2530,entreprise,2023-05-11
30,2867,entreprise,2024-02-25
31,1917,épargne,2018-04-25
32,249,épargne,2020-03-20
33,1778,entreprise,2021-06-07
34,661,entreprise,2015-07-05
35,2631,courant,2017-12-15
36,1469,épargne,2023-01-27
37,1984,épargne,2018-09-12
38,2906,joint,2025-04-16
39,2265,épargne,2020-11-04
40,2358,entreprise,2023-03-06
41,1935,entreprise,2018-09-20
42,1526,courant,2020-07-02
43,28,épargne,2023-04-11
44,2880,épargne,2018-07-06
45,71,courant,2015-07-19
46,2585,joint,2019-09-16
47,2973,courant,2018-04-09
48,13,épargne,2019-09-04
49,139,entreprise,2022-03-30
50,107,joint,2016-02-03
51,2983,entreprise,2017-06-19
52,466,épargne,2017-06-09
53,3241,joint,2017-12-04
54,1110,entreprise,2021-05-27
55,2038,joint,2022-10-13
56,1273,joint,2019-08-09
57,2964,entreprise,2016-06-23
58,1003,épargne,2024-09-29
59,398,joint,2021-01-16
60,148,courant,2019-01-04
61,572,courant,2025-03-15
62,2010,joint,2023-01-17
63,1877,entreprise,2023-10-20
64,1675,joint,2021-05-24
65,3112,courant,2021-01-07
66,2491,courant,2016-11-06
67,874,entreprise,2022-04-14
68,2098,épargne,2018-12-16
69,1653,épargne,2018-12-17
70,1023,courant,2019-02-04
71,2958,courant,2022-01-16
72,1228,entreprise,2022-11-24
73,2255,courant,2023-03-29
74,2930,courant,2020-12-21
75,2892,joint,2020-01-19
76,3149,courant,2018-09-08
77,1399,épargne,2018-11-23
78,3011,joint,2022-06-22
79,1184,courant,2021-12-11
80,711,épargne,2018-05-19
81,2958,joint,2018-07-27
82,1358,courant,2022-06-13
83,1712,courant,2023-06-01
84,1877,joint,2016-01-01
