country_id,country_name
1,Albanie
2,Allemagne
3,Andorre
4,Autriche
5,Belgique
6,Biélorussie
7,Bosnie-Herzégovine
8,Bulgarie
9,Chypre
10,Croatie
11,Danemark
12,Espagne
13,Estonie
14,Finlande
15,France
16,Grèce
17,Hongrie
18,Irlande
19,Islande
20,Italie
21,Kosovo
22,Lettonie
23,Liechtenstein
24,Lituanie
25,Luxembourg
26,Malte
27,Moldavie
28,Monaco
29,Monténégro
30,Norvège
31,Pays-Bas
32,Pologne
33,Portugal
34,République tchèque
35,Macédoine du Nord
36,Roumanie
37,Royaume-Uni
38,Russie
39,Saint-Marin
40,Serbie
41,Slovaquie
42,Slovénie
43,Suède
44,Suisse
45,Ukraine
46,Vatican
